Sample ID,Day,Batch,N-NO3 (mg per mL),N-NH4 (mg per mL)
Blank,1,A1,0.0479837,-0.4743721
Blank,1,A1,0.061724267,-0.4586284
Blank,1,A1,-0.008035533,-0.4638763
DCH_H3,1,A1,1.4041417,0.602338733
DCH_H8,1,A1,1.5929316,0.4562283
DCN_H8,1,A1,-0.0028245,0.0938074
DCN_P7,1,A1,0.5228898,0.566121667
DCS_P3,1,A1,0.50822605,-0.1074309
FNH_V2,1,A1,2.7175524,0.2776864
FNH_V5,1,A1,2.836947,0.2567296
FNS_H1,1,A1,5.2321235,-0.143982
MCH_P8,1,A1,-0.0067409,0.080898
MCN_H2,1,A1,0.1271535,0.121945333
MCN_H3,1,A1,-0.0213856,-0.149324
MCS_H8,1,A1,0.550050933,-0.1028534
SCH_H7,1,A1,0.2830768,0.2637057
SCH_P6,1,A1,1.0548016,0.075156433
SCH_V7,1,A1,0.220780172,0.045719078
SCH_V8,1,A1,0.281128,-0.06447675
SCN_H6,1,A1,-0.0245308,0.1571591
SCN_P2,1,A1,-0.0324356,0.0249032
SCS_H1,1,A1,2.0129314,-0.151438
SCS_H2,1,A1,0.4240666,-0.2288122
SCS_P5,1,A1,0.539468267,-0.0390395
UPH_H5,1,A1,0.0264472,-0.004106733
UPH_V6,1,A1,0.0229616,0.000426667
YFH_H5,1,A1,1.775866933,-0.1668925
YFN_H6,1,A1,0.0321292,0.552467
YFN_P2,1,A1,0.0004202,-0.1612474
YFN_P6,1,A1,0.046926733,0.85072265
Blank,31,A31,-0.111476,-0.292769
Blank,31,A31,-0.111476,-0.2731285
DCH_H3,31,A31,4.3584411,-0.01164275
DCH_H8,31,A31,4.22881755,0.612717
DCN_H8,31,A31,-0.1046271,0.0126516
DCN_P7,31,A31,-0.064036367,0.063669467
DCS_P3,31,A31,1.135444767,-0.102848333
FNH_V2,31,A31,5.7889277,-0.0047156
FNH_V5,31,A31,5.311507633,0.4647463
FNS_H1,31,A31,4.636553,-0.072410167
MCH_P8,31,A31,-0.098187833,-0.0357928
MCN_H2,31,A31,-0.059827667,-0.0751648
MCN_H3,31,A31,-0.074838167,-0.085664
MCS_H8,31,A31,1.526324,-0.0445603
SCH_H7,31,A31,2.3133248,-0.011077
SCH_P6,31,A31,2.719937333,-0.1064536
SCH_V7,31,A31,2.063679733,-0.02432375
SCH_V8,31,A31,0.343717067,-0.152375667
SCN_H6,31,A31,-0.1046655,0.1353738
SCN_P2,31,A31,-0.080187,-0.0663108
SCS_H1,31,A31,4.3830595,-0.1082904
SCS_H2,31,A31,2.4802641,-0.1210668
SCS_P5,31,A31,2.5852816,-0.1294588
UPH_H5,31,A31,-0.0778396,-0.099396
UPH_V6,31,A31,-0.045528333,-0.0652568
YFH_H5,31,A31,2.9503675,-0.19395
YFN_H6,31,A31,-0.054704,-0.0303005
YFN_P2,31,A31,-0.118946,-0.067796
YFN_P6,31,A31,-0.096536,-0.0410135
Blank,1,B1,-0.041858467,-0.2609575
Blank,1,B1,-0.0376306,-0.2714533
DCH_H6,1,B1,0.9762924,0.98697885
DCH_P1,1,B1,3.197412172,1.852341744
DCN_H2,1,B1,0.0231367,0.17575745
DCN_P4,1,B1,6.225700067,0.354637667
DCS_H2,1,B1,1.38285455,0.2101236
DCS_H4,1,B1,2.01241365,0.160777333
FNH_H2,1,B1,1.2752252,0.387049933
FNH_H3,1,B1,3.5685636,0.330292133
FNH_P1,1,B1,8.0414488,0.904749867
FNH_P2,1,B1,1.4765488,0.3879099
FNH_P4,1,B1,4.2666313,0.197857267
FNH_P5,1,B1,2.37265765,0.1944174
FNH_P6,1,B1,1.1833166,0.4420878
FNH_P8,1,B1,7.4921855,0.543563867
FNH_V3,1,B1,3.3849376,0.3178536
FNN_H4,1,B1,0.52559,2.1908676
FNN_H7,1,B1,0.0541344,1.2268548
FNN_P3,1,B1,-0.005052667,0.3361908
FNS_H4,1,B1,1.274023,0.0859175
FNS_H6,1,B1,2.2027275,0.240966
FNS_P3,1,B1,1.189403,0.167897167
FNS_P6,1,B1,1.6061565,0.14740225
FNS_P8,1,B1,1.295178,0.176808
MCH_P4,1,B1,-0.0527671,0.618082667
MCH_V2,1,B1,-0.0569513,0.114806667
MCN_P8,1,B1,0.867743367,0.2548732
MCS_H7,1,B1,3.2670034,0.82127365
SCH_H8,1,B1,1.508872,0.94408395
SCH_P3,1,B1,1.4250736,0.0929441
SCH_P5,1,B1,0.7157104,0.15431155
SCH_V1,1,B1,2.288392,0.2103427
SCN_H4,1,B1,-0.0146498,1.450028
SCN_P1,1,B1,-0.0601024,0.0896816
SCS_P1,1,B1,0.440896533,0.0767902
UPH_H2,1,B1,0.122778667,0.841633933
UPH_H8,1,B1,-0.025078933,0.306611033
UPH_P1,1,B1,1.3706072,2.15345125
UPH_P3,1,B1,0.010765333,0.576880333
UPH_P8,1,B1,0.689566133,0.4904677
UPH_V7,1,B1,0.504613867,8.068774667
YFH_H4,1,B1,0.844328933,0.05907025
YFH_H6,1,B1,2.206301733,0.2904345
YFH_P6,1,B1,2.585341333,0.277831
YFH_P7,1,B1,0.696567733,0.0311625
YFN_H3,1,B1,1.683111133,1.3763873
YFN_H4,1,B1,0.2540922,0.1728689
YFN_H5,1,B1,0.112458667,0.0259277
YFN_P3,1,B1,-0.1327576,0.0084347
Blank,31,B31,-0.129404,-0.29634
Blank,31,B31,-0.124922,-0.310624
DCH_H6,31,B31,3.8842086,0.099059333
DCH_P1,31,B31,10.0534465,0.2885813
DCN_H2,31,B31,-0.051121133,-0.113071
DCN_P4,31,B31,6.616829333,0.276851267
DCS_H2,31,B31,3.2164329,-0.0912062
DCS_H4,31,B31,4.0854436,-0.218750867
