"Population","Predation.Treatment","Generation","Cage.ID","Day","Date","Terraria","Time","X","Y","Estimate","Notes","Distance","DateTime","Nearest_Temperature","id","Type","Y_centered"
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,9H 0M 0S,16,8,NA,"",0,2023-08-22 09:00:00,23.08,"FN_Predator_F2_1_24","Behavior",4
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,9H 20M 0S,16,8,NA,"",0,2023-08-22 09:20:00,23.21,"FN_Predator_F2_1_24","Behavior",4
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,9H 40M 0S,8,8,NA,"",8,2023-08-22 09:40:00,23.89,"FN_Predator_F2_1_24","Behavior",4
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,10H 0M 0S,8,12,NA,"",4,2023-08-22 10:00:00,24.06,"FN_Predator_F2_1_24","Behavior",8
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,10H 20M 0S,4,16,NA,"",5.656854248,2023-08-22 10:20:00,24.49,"FN_Predator_F2_1_24","Behavior",12
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,10H 40M 0S,8,64,NA,"",48.16637832,2023-08-22 10:40:00,24.49,"FN_Predator_F2_1_24","Behavior",60
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,11H 0M 0S,8,24,NA,"",40,2023-08-22 11:00:00,24.28,"FN_Predator_F2_1_24","Behavior",20
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,11H 20M 0S,8,4,NA,"",20,2023-08-22 11:20:00,24.06,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,11H 40M 0S,4,8,NA,"",5.656854248,2023-08-22 11:40:00,24.79,"FN_Predator_F2_1_24","Behavior",4
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,12H 0M 0S,8,52,NA,"",44.18144408,2023-08-22 12:00:00,24.79,"FN_Predator_F2_1_24","Behavior",48
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,12H 20M 0S,4,44,NA,"",8.944271908,2023-08-22 12:20:00,24.75,"FN_Predator_F2_1_24","Behavior",40
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,12H 40M 0S,8,80,NA,"",36.221540552,2023-08-22 12:40:00,24.49,"FN_Predator_F2_1_24","Behavior",76
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,13H 0M 0S,4,76,NA,"",5.656854248,2023-08-22 13:00:00,23.51,"FN_Predator_F2_1_24","Behavior",72
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,13H 20M 0S,4,80,NA,"",4,2023-08-22 13:20:00,23.72,"FN_Predator_F2_1_24","Behavior",76
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,13H 40M 0S,8,84,NA,"",5.656854248,2023-08-22 13:40:00,24.24,"FN_Predator_F2_1_24","Behavior",80
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,14H 0M 0S,4,32,NA,"",52.15361924,2023-08-22 14:00:00,25.14,"FN_Predator_F2_1_24","Behavior",28
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,14H 20M 0S,4,48,NA,"",16,2023-08-22 14:20:00,24.84,"FN_Predator_F2_1_24","Behavior",44
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,14H 40M 0S,4,80,NA,"",32,2023-08-22 14:40:00,25.09,"FN_Predator_F2_1_24","Behavior",76
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,15H 0M 0S,36,4,NA,"",82.46211252,2023-08-22 15:00:00,24.88,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,15H 20M 0S,36,4,NA,"",0,2023-08-22 15:20:00,24.71,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,15H 40M 0S,36,4,NA,"",0,2023-08-22 15:40:00,25.35,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,16H 0M 0S,36,4,NA,"",0,2023-08-22 16:00:00,25.01,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,16H 20M 0S,36,4,NA,"",0,2023-08-22 16:20:00,25.09,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,16H 40M 0S,36,4,NA,"",0,2023-08-22 16:40:00,24.71,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,17H 0M 0S,28,4,NA,"",8,2023-08-22 17:00:00,24.97,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,17H 20M 0S,28,4,NA,"",0,2023-08-22 17:20:00,24.88,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,17H 40M 0S,28,4,NA,"",0,2023-08-22 17:40:00,24.58,"FN_Predator_F2_1_24","Behavior",0
"FN","Predator","G2","S_FNN_P4",1,"8/22/23",24,18H 0M 0S,28,4,NA,"",0,2023-08-22 18:00:00,24.15,"FN_Predator_F2_1_24","Behavior",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,9H 0M 0S,8,32,NA,"",0,2023-08-22 09:00:00,23.08,"SC_Predator_F1_1_25","Physiology",28
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,9H 20M 0S,8,32,NA,"",0,2023-08-22 09:20:00,23.21,"SC_Predator_F1_1_25","Physiology",28
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,9H 40M 0S,8,32,NA,"",0,2023-08-22 09:40:00,23.89,"SC_Predator_F1_1_25","Physiology",28
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,10H 0M 0S,8,32,NA,"",0,2023-08-22 10:00:00,24.06,"SC_Predator_F1_1_25","Physiology",28
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,10H 20M 0S,8,32,NA,"",0,2023-08-22 10:20:00,24.49,"SC_Predator_F1_1_25","Physiology",28
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,10H 40M 0S,8,32,NA,"",0,2023-08-22 10:40:00,24.49,"SC_Predator_F1_1_25","Physiology",28
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,11H 0M 0S,8,32,NA,"",0,2023-08-22 11:00:00,24.28,"SC_Predator_F1_1_25","Physiology",28
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,11H 20M 0S,8,64,NA,"",32,2023-08-22 11:20:00,24.06,"SC_Predator_F1_1_25","Physiology",60
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,11H 40M 0S,16,12,NA,"",52.61178576,2023-08-22 11:40:00,24.79,"SC_Predator_F1_1_25","Physiology",8
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,12H 0M 0S,4,60,NA,"",49.47726752,2023-08-22 12:00:00,24.79,"SC_Predator_F1_1_25","Physiology",56
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,12H 20M 0S,4,4,NA,"",56,2023-08-22 12:20:00,24.75,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,12H 40M 0S,4,4,NA,"",0,2023-08-22 12:40:00,24.49,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,13H 0M 0S,4,56,NA,"",52,2023-08-22 13:00:00,23.51,"SC_Predator_F1_1_25","Physiology",52
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,13H 20M 0S,36,16,NA,"",51.22499388,2023-08-22 13:20:00,23.72,"SC_Predator_F1_1_25","Physiology",12
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,13H 40M 0S,24,80,NA,"",65.1152824,2023-08-22 13:40:00,24.24,"SC_Predator_F1_1_25","Physiology",76
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,14H 0M 0S,28,80,NA,"",4,2023-08-22 14:00:00,25.14,"SC_Predator_F1_1_25","Physiology",76
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,14H 20M 0S,8,16,NA,"",67.05221844,2023-08-22 14:20:00,24.84,"SC_Predator_F1_1_25","Physiology",12
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,14H 40M 0S,8,4,NA,"",12,2023-08-22 14:40:00,25.09,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,15H 0M 0S,16,4,NA,"",8,2023-08-22 15:00:00,24.88,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,15H 20M 0S,16,4,NA,"",0,2023-08-22 15:20:00,24.71,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,15H 40M 0S,16,4,NA,"",0,2023-08-22 15:40:00,25.35,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,16H 0M 0S,16,4,NA,"",0,2023-08-22 16:00:00,25.01,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,16H 20M 0S,16,4,NA,"",0,2023-08-22 16:20:00,25.09,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,16H 40M 0S,16,4,NA,"",0,2023-08-22 16:40:00,24.71,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,17H 0M 0S,16,4,NA,"",0,2023-08-22 17:00:00,24.97,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,17H 20M 0S,16,4,NA,"",0,2023-08-22 17:20:00,24.88,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,17H 40M 0S,28,4,NA,"",12,2023-08-22 17:40:00,24.58,"SC_Predator_F1_1_25","Physiology",0
"SC","Predator","G1","S_SCN_P1",1,"8/22/23",25,18H 0M 0S,32,4,NA,"",4,2023-08-22 18:00:00,24.15,"SC_Predator_F1_1_25","Physiology",0
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,9H 0M 0S,20,36,NA,"",0,2023-08-22 09:00:00,23.08,"FN_Predator_F1_1_21","Behavior",32
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,9H 20M 0S,8,80,NA,"",45.607017,2023-08-22 09:20:00,23.21,"FN_Predator_F1_1_21","Behavior",76
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,9H 40M 0S,8,60,NA,"",20,2023-08-22 09:40:00,23.89,"FN_Predator_F1_1_21","Behavior",56
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,10H 0M 0S,8,48,NA,"",12,2023-08-22 10:00:00,24.06,"FN_Predator_F1_1_21","Behavior",44
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,10H 20M 0S,8,52,NA,"",4,2023-08-22 10:20:00,24.49,"FN_Predator_F1_1_21","Behavior",48
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,10H 40M 0S,8,36,NA,"",16,2023-08-22 10:40:00,24.49,"FN_Predator_F1_1_21","Behavior",32
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,11H 0M 0S,16,36,NA,"",8,2023-08-22 11:00:00,24.28,"FN_Predator_F1_1_21","Behavior",32
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,11H 20M 0S,8,40,NA,"",8.944271908,2023-08-22 11:20:00,24.06,"FN_Predator_F1_1_21","Behavior",36
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,11H 40M 0S,4,60,NA,"",20.396078056,2023-08-22 11:40:00,24.79,"FN_Predator_F1_1_21","Behavior",56
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,12H 0M 0S,4,48,NA,"",12,2023-08-22 12:00:00,24.79,"FN_Predator_F1_1_21","Behavior",44
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,12H 20M 0S,4,76,NA,"",28,2023-08-22 12:20:00,24.75,"FN_Predator_F1_1_21","Behavior",72
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,12H 40M 0S,40,64,NA,"",37.947331924,2023-08-22 12:40:00,24.49,"FN_Predator_F1_1_21","Behavior",60
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,13H 0M 0S,40,56,NA,"",8,2023-08-22 13:00:00,23.51,"FN_Predator_F1_1_21","Behavior",52
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,13H 20M 0S,32,84,NA,"",29.120439556,2023-08-22 13:20:00,23.72,"FN_Predator_F1_1_21","Behavior",80
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,13H 40M 0S,4,80,NA,"",28.284271248,2023-08-22 13:40:00,24.24,"FN_Predator_F1_1_21","Behavior",76
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,14H 0M 0S,8,80,NA,"",4,2023-08-22 14:00:00,25.14,"FN_Predator_F1_1_21","Behavior",76
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,14H 20M 0S,28,76,NA,"",20.396078056,2023-08-22 14:20:00,24.84,"FN_Predator_F1_1_21","Behavior",72
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,14H 40M 0S,24,40,NA,"",36.221540552,2023-08-22 14:40:00,25.09,"FN_Predator_F1_1_21","Behavior",36
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,15H 0M 0S,12,60,NA,"",23.32380758,2023-08-22 15:00:00,24.88,"FN_Predator_F1_1_21","Behavior",56
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,15H 20M 0S,8,40,NA,"",20.396078056,2023-08-22 15:20:00,24.71,"FN_Predator_F1_1_21","Behavior",36
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,15H 40M 0S,4,40,NA,"",4,2023-08-22 15:40:00,25.35,"FN_Predator_F1_1_21","Behavior",36
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,16H 0M 0S,4,40,NA,"",0,2023-08-22 16:00:00,25.01,"FN_Predator_F1_1_21","Behavior",36
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,16H 20M 0S,4,40,NA,"",0,2023-08-22 16:20:00,25.09,"FN_Predator_F1_1_21","Behavior",36
"FN","Predator","G1","S_FNN_P6",1,"8/22/23",21,16H 40M 0S,4,44,NA,"",4,2023-08-22 16:40:00,24.71,"FN_Predator_F1_1_21","Behavior",40
