Population,Predation.Treatment,Generation,Cage.ID,Day,Date,Terraria,Time,X,Y,Estimate,Notes,Distance
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,7H 40M 0S,4,2,1,,18.43908891
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,8H 0M 0S,4,2,1,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,8H 20M 0S,4,2,1,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,8H 40M 0S,4,2,1,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,9H 0M 0S,4,2,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,9H 20M 0S,4,2,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,9H 40M 0S,2,2,NA,,2
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,10H 0M 0S,2,3,NA,,1
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,10H 20M 0S,1,4,NA,,1.414213562
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,10H 40M 0S,2,16,NA,,12.04159458
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,11H 0M 0S,2,6,NA,,10
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,11H 20M 0S,2,1,NA,,5
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,11H 40M 0S,1,2,NA,,1.414213562
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,12H 0M 0S,2,13,NA,,11.04536102
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,12H 20M 0S,1,11,NA,,2.236067977
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,12H 40M 0S,2,20,NA,,9.055385138
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,13H 0M 0S,1,19,NA,,1.414213562
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,13H 20M 0S,1,20,NA,,1
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,13H 40M 0S,2,21,NA,,1.414213562
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,14H 0M 0S,1,8,NA,,13.03840481
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,14H 20M 0S,1,12,NA,,4
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,14H 40M 0S,1,20,NA,,8
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,15H 0M 0S,9,1,NA,,20.61552813
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,15H 20M 0S,9,1,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,15H 40M 0S,9,1,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,16H 0M 0S,9,1,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,16H 20M 0S,9,1,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,16H 40M 0S,9,1,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,17H 0M 0S,7,1,NA,,2
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,17H 20M 0S,7,1,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,17H 40M 0S,7,1,NA,,0
FN,Predator,F2,S_FNN_P4,1,8/22/23,24,18H 0M 0S,7,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,7H 40M 0S,2,5,NA,,6.403124237
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,8H 0M 0S,2,5,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,8H 20M 0S,4,2,NA,,3.605551275
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,8H 40M 0S,2,8,NA,,6.32455532
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,9H 0M 0S,2,8,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,9H 20M 0S,2,8,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,9H 40M 0S,2,8,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,10H 0M 0S,2,8,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,10H 20M 0S,2,8,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,10H 40M 0S,2,8,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,11H 0M 0S,2,8,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,11H 20M 0S,2,16,NA,,8
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,11H 40M 0S,4,3,NA,,13.15294644
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,12H 0M 0S,1,15,NA,,12.36931688
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,12H 20M 0S,1,1,NA,,14
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,12H 40M 0S,1,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,13H 0M 0S,1,14,NA,,13
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,13H 20M 0S,9,4,NA,,12.80624847
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,13H 40M 0S,6,20,NA,,16.2788206
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,14H 0M 0S,7,20,NA,,1
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,14H 20M 0S,2,4,NA,,16.76305461
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,14H 40M 0S,2,1,NA,,3
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,15H 0M 0S,4,1,NA,,2
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,15H 20M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,15H 40M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,16H 0M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,16H 20M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,16H 40M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,17H 0M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,17H 20M 0S,4,1,NA,,0
SC,Predator,F1,S_SCN_P1,1,8/22/23,25,17H 40M 0S,7,1,NA,,3
