Date.Time..EDT.,Ch..1...Temperature.....C.,logger
8/22/23 0:00,14.15,1
8/22/23 0:05,14.07,1
8/22/23 0:10,13.94,1
8/22/23 0:15,13.9,1
8/22/23 0:20,13.81,1
8/22/23 0:25,13.81,1
8/22/23 0:30,13.77,1
8/22/23 0:35,13.73,1
8/22/23 0:40,13.68,1
8/22/23 0:45,13.6,1
8/22/23 0:50,13.6,1
8/22/23 0:55,13.55,1
8/22/23 1:00,13.51,1
8/22/23 1:05,13.38,1
8/22/23 1:10,13.3,1
8/22/23 1:15,13.17,1
8/22/23 1:20,13.08,1
8/22/23 1:25,13,1
8/22/23 1:30,12.91,1
8/22/23 1:35,12.91,1
8/22/23 1:40,12.82,1
8/22/23 1:45,12.78,1
8/22/23 1:50,12.61,1
8/22/23 1:55,12.65,1
8/22/23 2:00,12.65,1
8/22/23 2:05,12.61,1
8/22/23 2:10,12.48,1
8/22/23 2:15,12.48,1
8/22/23 2:20,12.48,1
8/22/23 2:25,12.61,1
8/22/23 2:30,12.57,1
8/22/23 2:35,12.52,1
8/22/23 2:40,12.44,1
8/22/23 2:45,12.44,1
8/22/23 2:50,12.4,1
8/22/23 2:55,12.4,1
8/22/23 3:00,12.4,1
8/22/23 3:05,12.44,1
8/22/23 3:10,12.4,1
8/22/23 3:15,12.44,1
8/22/23 3:20,12.44,1
8/22/23 3:25,12.4,1
8/22/23 3:30,12.35,1
8/22/23 3:35,12.31,1
8/22/23 3:40,12.27,1
8/22/23 3:45,12.1,1
8/22/23 3:50,11.97,1
8/22/23 3:55,11.92,1
8/22/23 4:00,11.88,1
8/22/23 4:05,11.88,1
8/22/23 4:10,11.75,1
8/22/23 4:15,11.62,1
8/22/23 4:20,11.58,1
8/22/23 4:25,11.54,1
8/22/23 4:30,11.41,1
8/22/23 4:35,11.41,1
8/22/23 4:40,11.41,1
8/22/23 4:45,11.37,1
8/22/23 4:50,11.37,1
8/22/23 4:55,11.37,1
8/22/23 5:00,11.28,1
8/22/23 5:05,11.19,1
8/22/23 5:10,11.15,1
8/22/23 5:15,11.11,1
8/22/23 5:20,11.15,1
8/22/23 5:25,11.19,1
8/22/23 5:30,11.19,1
8/22/23 5:35,11.15,1
8/22/23 5:40,11.15,1
8/22/23 5:45,11.15,1
8/22/23 5:50,11.19,1
8/22/23 5:55,11.15,1
8/22/23 6:00,11.19,1
8/22/23 6:05,11.19,1
8/22/23 6:10,11.11,1
8/22/23 6:15,11.11,1
8/22/23 6:20,11.15,1
8/22/23 6:25,11.32,1
8/22/23 6:30,11.62,1
8/22/23 6:35,12.27,1
8/22/23 6:40,12.78,1
8/22/23 6:45,13.34,1
8/22/23 6:50,13.81,1
8/22/23 6:55,14.45,1
8/22/23 7:00,14.93,1
8/22/23 7:05,15.36,1
8/22/23 7:10,15.91,1
8/22/23 7:15,16.51,1
8/22/23 7:20,16.9,1
8/22/23 7:25,17.2,1
8/22/23 7:30,17.67,1
8/22/23 7:35,18.06,1
8/22/23 7:40,18.57,1
8/22/23 7:45,19.05,1
8/22/23 7:50,19.43,1
8/22/23 7:55,19.56,1
8/22/23 8:00,19.65,1
8/22/23 8:05,19.73,1
8/22/23 8:10,19.86,1
8/22/23 8:15,20.03,1
8/22/23 8:20,20.29,1
8/22/23 8:25,20.46,1
8/22/23 8:30,20.63,1
8/22/23 8:35,21.1,1
8/22/23 8:40,21.53,1
8/22/23 8:45,22.39,1
8/22/23 8:50,22.86,1
8/22/23 8:55,22.73,1
8/22/23 9:00,23.08,1
8/22/23 9:05,23.21,1
8/22/23 9:10,23.16,1
8/22/23 9:15,23.03,1
8/22/23 9:20,23.21,1
8/22/23 9:25,24.11,1
8/22/23 9:30,24.36,1
8/22/23 9:35,24.24,1
8/22/23 9:40,23.89,1
8/22/23 9:45,24.24,1
8/22/23 9:50,24.32,1
8/22/23 9:55,24.28,1
8/22/23 10:00,24.06,1
8/22/23 10:05,24.15,1
8/22/23 10:10,24.32,1
8/22/23 10:15,24.36,1
8/22/23 10:20,24.49,1
8/22/23 10:25,24.75,1
8/22/23 10:30,24.79,1
8/22/23 10:35,24.58,1
8/22/23 10:40,24.49,1
8/22/23 10:45,24.36,1
