Year,ProcessingID,Sample_ID,Replicate,Population,Site,CageTreatment,SampleType,Weight-mg,PercentN,PercentC,RatioCN,Note
2023,DCN_H1 SORU (Plant),DCN_H1,1,DC,UP,Herbivore,SORU,3.262,2.1,43.5,20.1,
2023,DCN_H1 POPRCC (Plant),DCN_H1,1,DC,UP,Herbivore,POPRC,2.948,1.1,43.4,38.1,
2023,DCN_H1 MISC (Plant),DCN_H1,1,DC,UP,Herbivore,MISC,3.001,2,44.8,21.8,
2023,DCN_H1 LITTERER (Plant),DCN_H1,1,DC,UP,Herbivore,LITTER,3.224,0.9,43.8,46.9,
2023,DCN_H1 SOIL,DCN_H1,1,DC,UP,Herbivore,SOIL,10.031,0.2,2.9,12.1,
2021,DCN_H1,DCN_H1,1,DC,UP,Herbivore,SOIL,10.24,0.2,2.7,11.1,
2021,L_DCN_H1,DCN_H1,1,DC,UP,Herbivore,LITTER,1.508,0.6,44.9,70.2,
2021,M_DCN_H1,DCN_H1,1,DC,UP,Herbivore,MISC,1.547,1.9,44.1,22.5,
2021,P_DCN_H1,DCN_H1,1,DC,UP,Herbivore,POPRC,1.57,1.6,43.5,26.1,
2021,S_DCN_H1,DCN_H1,1,DC,UP,Herbivore,SORU,1.803,1.9,47.6,25,
2023,DCN_H2 SORU (Plant),DCN_H2,2,DC,UP,Herbivore,SORU,3.147,2,44.3,21.9,
2023,DCN_H2 POPRCC (Plant),DCN_H2,2,DC,UP,Herbivore,POPRC,2.975,1.5,42.1,27.8,
2023,DCN_H2 MISC (Plant),DCN_H2,2,DC,UP,Herbivore,MISC,3.091,1.5,40.8,26.3,
2023,DCN_H2 LITTERER (Plant),DCN_H2,2,DC,UP,Herbivore,LITTER,3.235,1,45.3,42.7,
2023,DCN_H2 SOIL,DCN_H2,2,DC,UP,Herbivore,SOIL,9.97,0.2,2.8,11.7,
2021,DCN_H2,DCN_H2,2,DC,UP,Herbivore,SOIL,10.302,0.2,2.5,11,
2021,L_DCN_H2,DCN_H2,2,DC,UP,Herbivore,LITTER,1.772,0.9,41.5,45.7,
2021,M_DCN_H2,DCN_H2,2,DC,UP,Herbivore,MISC,1.984,2.4,51.5,20.8,
2021,P_DCN_H2,DCN_H2,2,DC,UP,Herbivore,POPRC,1.936,1.6,44.2,27.1,
2021,S_DCN_H2,DCN_H2,2,DC,UP,Herbivore,SORU,2.07,1.8,46.3,24.9,
2023,DCN_H3 SORU (Plant),DCN_H3,3,DC,UP,Herbivore,SORU,3.059,2.1,45.5,21.3,
2023,DCN_H3 POPRCC (Plant),DCN_H3,3,DC,UP,Herbivore,POPRC,3.182,1.1,42.7,38.3,
2023,DCN_H3 MISC (Plant),DCN_H3,3,DC,UP,Herbivore,MISC,3.34,2.1,45.2,21.3,
2023,DCN_H3 LITTERER (Plant),DCN_H3,3,DC,UP,Herbivore,LITTER,3.011,0.7,43.5,55.3,
2023,DCN_H3 SOIL,DCN_H3,3,DC,UP,Herbivore,SOIL,10.001,0.2,3.3,12.8,
2021,DCN_H3,DCN_H3,3,DC,UP,Herbivore,SOIL,10.12,0.2,3.4,11.7,
2021,L_DCN_H3,DCN_H3,3,DC,UP,Herbivore,LITTER,1.819,0.8,43.6,51.3,
2021,M_DCN_H3,DCN_H3,3,DC,UP,Herbivore,MISC,1.602,2,41.7,20.6,
2021,P_DCN_H3,DCN_H3,3,DC,UP,Herbivore,POPRC,1.675,2.7,44.7,16.3,
2021,S_DCN_H3,DCN_H3,3,DC,UP,Herbivore,SORU,1.704,2.2,46,20.4,
2023,DCN_H5 SOIL,DCN_H5,5,DC,UP,Herbivore,SOIL,10.063,0.2,3.1,13,
2023,DCN_H5 POPRC (Plant),DCN_H5,5,DC,UP,Herbivore,POPRC,3.082,1.2,41.8,34.7,
2023,DCN_H5 MISC (Plant),DCN_H5,5,DC,UP,Herbivore,MISC,3.179,1.5,43.6,27.6,
2023,DCN_H5 SORU (Plant),DCN_H5,5,DC,UP,Herbivore,SORU,2.988,2.7,46,16.7,
2023,DCN_H5 LITTER,DCN_H5,5,DC,UP,Herbivore,LITTER,3.227,0.78,43.74,55.46,
2021,DCN_H5,DCN_H5,5,DC,UP,Herbivore,SOIL,10.996,0.2,2.4,12.2,
2021,L_DCN_H5,DCN_H5,5,DC,UP,Herbivore,LITTER,1.771,1,42.6,41.4,
2021,M_DCN_H5,DCN_H5,5,DC,UP,Herbivore,MISC,1.516,2.6,45,16.8,
2021,P_DCN_H5,DCN_H5,5,DC,UP,Herbivore,POPRC,1.793,1.8,43.3,24,
2021,S_DCN_H5,DCN_H5,5,DC,UP,Herbivore,SORU,1.824,2.3,47.7,20.5,
2023,DCN_H6 SORU (Plant),DCN_H6,6,DC,UP,Herbivore,SORU,3.043,2.2,45.9,20.1,
2023,DCN_H6 POPRCC (Plant),DCN_H6,6,DC,UP,Herbivore,POPRC,3.163,2,43.1,20.7,
2023,DCN_H6 MISC (Plant),DCN_H6,6,DC,UP,Herbivore,MISC,3.092,0.9,45.5,45.9,
2023,DCN_H6 LITTERER (Plant),DCN_H6,6,DC,UP,Herbivore,LITTER,3.584,0.5,43.1,81.7,
2023,DCN_H6 SOIL,DCN_H6,6,DC,UP,Herbivore,SOIL,10.005,0.1,2.4,12.3,
