Chamber,Run,Manual_Resp_Calc,Incubation_Temp,Logger_Pro_Calcd,Temp_Catagorical,Entry_Order,Generation,Population,Predation,Cage,Tin.Empty,Tin.Full,Mass,Run,Chamber,Notes,Exclude,Individual,Saturated_at_30
7,2,2.270007378,25.14364528,2.220336176,25C,13,F1,DC,Predator,2,1.7164,2.0716,0.3552,2,7,NA,0,13,NA
5,7,1.375463045,25.24100389,1.354847542,25C,45,F1,DC,Predator,2,1.7307,2.0067,0.276,7,5,NA,0,46,NA
7,7,1.467416305,25.23270325,1.439171985,25C,47,F1,DC,Predator,2,1.7299,1.9601,0.2302,7,7,NA,0,48,NA
4,8,1.919200596,24.98051769,1.977948334,25C,52,F1,DC,Predator,2,1.7203,2.065,0.3447,8,4,NA,0,52,NA
7,2,3.922684764,30.37575989,3.721568511,30C,13,F1,DC,Predator,2,1.7164,2.0716,0.3552,2,7,NA,0,13,NA
5,7,2.134199145,30.10695166,2.120129131,30C,45,F1,DC,Predator,2,1.7307,2.0067,0.276,7,5,NA,0,46,NA
7,7,2.897363721,30.01502838,2.882656568,30C,47,F1,DC,Predator,2,1.7299,1.9601,0.2302,7,7,NA,0,48,NA
4,8,2.470822742,29.58706178,2.453422197,30C,52,F1,DC,Predator,2,1.7203,2.065,0.3447,8,4,NA,0,52,NA
5,1,2.19508426,26.022421,2.085589163,25C,4,F2,DC,Herbivore,4,1.7061,1.9778,0.2717,1,5,NA,0,4,NA
4,2,1.110549886,25.09469541,1.090309616,25C,10,F2,DC,Herbivore,4,1.7243,1.945,0.2207,2,4,NA,0,10,NA
6,4,1.231388301,25.1137594,1.217251912,25C,28,F2,DC,Herbivore,4,1.6561,1.8884,0.2323,4,6,NA,0,26,NA
7,5,2.556269249,25.06242797,2.430340562,25C,34,F2,DC,Herbivore,4,1.6977,2.0212,0.3235,5,7,NA,0,34,NA
4,6,2.064231299,25.08916009,1.937837065,25C,38,F2,DC,Predator,1,1.6983,1.9642,0.2659,6,4,NA,0,38,NA
2,7,0.870174456,25.18922735,0.860190217,25C,49,F2,DC,Predator,1,1.7005,1.9016,0.2011,7,2,NA,0,43,NA
4,7,1.815778937,25.23530903,1.706915386,25C,44,F2,DC,Predator,6,1.6872,2.0687,0.3815,7,4,NA,0,45,NA
3,9,0.782612868,24.83097178,0.804851231,25C,58,F2,DC,Herbivore,4,1.6914,1.8919,0.2005,9,3,NA,0,58,NA
5,1,2.75994272,30.70465596,2.766535409,30C,4,F2,DC,Herbivore,4,1.7061,1.9778,0.2717,1,5,NA,0,4,NA
4,2,1.527141014,30.67016086,1.48887961,30C,10,F2,DC,Herbivore,4,1.7243,1.945,0.2207,2,4,NA,0,10,NA
6,4,1.794904893,30.70690691,1.788916856,30C,28,F2,DC,Herbivore,4,1.6561,1.8884,0.2323,4,6,NA,0,26,NA
7,5,3.636292109,30.6282688,3.631171173,30C,34,F2,DC,Herbivore,4,1.6977,2.0212,0.3235,5,7,NA,0,34,NA
4,6,2.829694636,30.32212046,2.822641887,30C,38,F2,DC,Predator,1,1.6983,1.9642,0.2659,6,4,NA,0,38,NA
2,7,1.240616747,30.23188722,1.229903338,30C,49,F2,DC,Predator,1,1.7005,1.9016,0.2011,7,2,NA,0,43,NA
4,7,2.601870255,30.15231773,2.602965708,30C,44,F2,DC,Predator,6,1.6872,2.0687,0.3815,7,4,NA,0,45,NA
3,9,1.121285015,30.21322919,1.06631632,30C,58,F2,DC,Herbivore,4,1.6914,1.8919,0.2005,9,3,NA,0,58,NA
8,1,1.042830205,25.97911644,1.042166424,25C,7,F1,FN,Predator,8,1.702,1.9515,0.2495,1,8,NA,0,7,NA
3,5,1.656370702,25.13654662,1.640267468,25C,30,F1,FN,Predator,7,1.5915,1.7839,0.1924,5,3,NA,0,30,NA
8,5,2.078012847,25.05149503,2.054911304,25C,35,F1,FN,Predator,7,1.7116,2.1041,0.3925,5,8,NA,0,35,NA
8,6,2.471279084,25.15213042,2.452617309,25C,41,F1,FN,Predator,8,1.6744,1.978,0.3036,6,8,NA,0,42,NA
2,1,4.087128184,30.78470548,4.162754044,30C,1,F1,FN,Predator,8,1.7987,2.097,0.2983,1,2,NA,1,1,1
8,1,1.364701656,30.57707901,1.37045821,30C,7,F1,FN,Predator,8,1.702,1.9515,0.2495,1,8,NA,0,7,NA
3,5,2.620105453,31.09021056,2.588922723,30C,30,F1,FN,Predator,7,1.5915,1.7839,0.1924,5,3,NA,0,30,NA
8,5,3.338639361,30.51066242,3.24779299,30C,35,F1,FN,Predator,7,1.7116,2.1041,0.3925,5,8,NA,0,35,NA
8,6,2.74501641,30.03986837,2.74002291,30C,41,F1,FN,Predator,8,1.6744,1.978,0.3036,6,8,NA,0,42,NA
2,6,1.102059316,25.03577687,1.101295822,25C,36,F2,FN,Predator,4,1.7968,2.0202,0.2234,6,2,NA,0,36,NA
