Entry_Order,Generation,Population,Predation ,Cage,Tin Empty,Tin Full,Mass,Run,Chamber,Notes,Exclude,Individual,Saturated_at_30
1,1,FN,Predator,8,1.7987,2.097,0.2983,1,2,,1,1,1
2,1,SP,Predator,8,1.6104,1.8566,0.2462,1,3,,0,2,
3,2,HF,Predator,1,1.7011,1.9433,0.2422,1,4,,0,3,
4,2,DC,Herbivore,4,1.7061,1.9778,0.2717,1,5,,0,4,
5,1,UP,Predator,5,1.7064,2.1439,0.4375,1,6,,0,5,
6,1,SC,Predator,2,1.7626,2.0009,0.2383,1,7,,0,6,
7,1,FN,Predator,8,1.702,1.9515,0.2495,1,8,,0,7,
8,2,UP,Predator,3,1.7346,2.0164,0.2818,2,2,,0,8,
9,2,SP,Predator,4,1.7098,1.9426,0.2328,2,3,,0,9,
10,2,DC,Herbivore,4,1.7243,1.945,0.2207,2,4,,0,10,
11,2,SC,Predator,3,1.7384,1.8319,0.0935,2,5,,0,11,
12,1,SC,Predator,2,1.6098,1.8832,0.2734,2,6,,0,12,
13,1,DC,Predator,2,1.7164,2.0716,0.3552,2,7,,0,13,
14,2,UP,Predator,3,1.719,1.8967,0.1777,2,8,,0,14,
15,2,SP,Herbivore,8,1.7584,2.1015,0.3431,3,2,,0,15,
16,1,SP,Predator,8,1.6842,1.936,0.2518,3,3,,0,16,
17,2,HF,Predator,1,1.726,2.0984,0.3724,3,4,,0,17,
18,1,UP,Predator,6,1.6715,1.978,0.3065,3,5,,0,18,
19,2,SC,Predator,3,1.708,1.8173,0.1093,3,6,,0,19,
20,2,SP,Predator,4,1.7044,2.0833,0.3789,3,7,,0,20,
21,1,SP,Predator,8,1.7143,1.9978,0.2835,3,8,,0,21,
22,2,SP,Predator,4,1.7142,2.0164,0.3022,4,2,,0,22,
23,1,SC,Predator,2,1.7225,2.1224,0.3999,4,3,,0,23,
24,2,SP,Predator,7,1.7029,1.9269,0.224,4,4,,0,24,
25,1,HF,Predator,6,1.6712,1.9777,0.3065,4,5,,0,25,
28,2,DC,Herbivore,4,1.6561,1.8884,0.2323,4,6,,0,26,
26,2,HF,Predator,1,1.7074,1.9378,0.2304,4,7,,0,27,
27,1,SC,Predator,2,1.6617,2.0287,0.367,4,8,,0,28,
29,2,SP,Herbivore,8,1.6257,1.89,0.2643,5,2,,0,29,
30,1,FN,Predator,7,1.5915,1.7839,0.1924,5,3,,0,30,
31,1,UP,Predator,5,1.6097,2,0.3903,5,4,,0,31,
32,2,HF,Predator,1,1.6673,1.9236,0.2563,5,5,,0,32,
33,2,UP,Predator,3,1.6466,1.8966,0.25,5,6,,0,33,
34,2,DC,Herbivore,4,1.6977,2.0212,0.3235,5,7,,0,34,
35,1,FN,Predator,7,1.7116,2.1041,0.3925,5,8,,0,35,
36,2,FN,Predator,4,1.7968,2.0202,0.2234,6,2,,0,36,
37,1,SP,Predator,8,1.6811,1.8174,0.1363,6,3,,0,37,
38,2,DC,Predator,1,1.6983,1.9642,0.2659,6,4,,0,38,
39,2,UP,Predator,3,1.724,2.0235,0.2995,6,5,,0,39,
40,2,FN,Predator,4,1.7357,2.0333,0.2976,6,6,,1,40,1
42,1,HF,Predator,8,1.7725,1.9671,0.1946,6,7,,0,41,
41,1,FN,Predator,8,1.6744,1.978,0.3036,6,8,,0,42,
49,2,DC,Predator,1,1.7005,1.9016,0.2011,7,2,,0,43,
43,2,SC,Predator,3,1.7528,1.9903,0.2375,7,3,,0,44,
44,2,DC,Predator,6,1.6872,2.0687,0.3815,7,4,,0,45,
45,1,DC,Predator,2,1.7307,2.0067,0.276,7,5,,0,46,
46,2,FN,Predator,4,1.6738,1.9428,0.269,7,6,,0,47,
47,1,DC,Predator,2,1.7299,1.9601,0.2302,7,7,,0,48,
48,1,HF,Predator,2,1.7201,2.0206,0.3005,7,8,,0,49,
50,1,HF,Predator,2,1.7011,1.9788,0.2777,8,2,,0,50,
51,2,SP,Herbivore,8,1.7253,2.101,0.3757,8,3,,0,51,
52,1,DC,Predator,2,1.7203,2.065,0.3447,8,4,,0,52,
53,DEAD,DEAD,DEAD,DEAD,,,0,8,5,,1,53,
54,2,UP,Predator,3,1.6653,1.8313,0.166,8,6,,0,54,
55,1,SP,Predator,3,1.7521,1.9866,0.2345,8,7,,0,55,
56,2,SC,Predator,7,1.7441,2.1182,0.3741,8,8,,0,56,
57,1,SC,Predator,6,1.7753,2.0905,0.3152,9,2,,0,57,
58,2,DC,Herbivore,4,1.6914,1.8919,0.2005,9,3,,0,58,
59,2,SP,Herbivore,8,1.7178,2.1135,0.3957,9,4,,0,59,
60,2,SP,Predator,4,1.6602,1.8805,0.2203,9,5,,0,60,
61,BLANK,BLANK,BLANK,BLANK,,,0,9,6,,1,61,
62,BLANK,BLANK,BLANK,BLANK,,,0,9,7,,1,62,
63,BLANK,BLANK,BLANK,BLANK,,,0,9,8,,1,63,
