Sample_ID,Rep,"Average 
% soil moist","Mass (g) oven dry soil 
using for assay","4g Dry Weight 
Equivalant Target","Actual Mass 
Fresh Soil","Actual Dry Weight 
Equivalent",Rack,unique.id,Volume,Notes
UPH_H8,1,22,4,5.1282,5.1372,4.007,1,01_1,7.5,
DCH_V6,1,23.17,4,5.2063,5.2003,3.9954,10,01_10,7.5,
YFN_H7,1,21.77,4,5.1131,5.1173,4.0033,11,01_11,7.5,
DCH_H4,1,21.15,4,5.0729,5.0744,4.0012,12,01_12,7.5,
UPS_H7,1,22.08,4,5.1335,5.1321,3.9989,13,01_13,8,
UPH_V8,1,20.98,4,5.062,5.0766,4.0115,2,01_2,7.5,
FNH_P2,1,21.06,4,5.0671,5.0615,3.9955,3,01_3,7.5,
FNH_P6,1,23.18,4,5.207,5.2065,3.9996,4,01_4,7.5,
MCH_V2,1,26.74,4,5.46,5.4591,3.9993,5,01_5,7.5,
YFN_P3,1,22.02,4,5.1295,5.1292,3.9998,6,01_6,7.5,
FNH_P3,1,17.57,4,4.8526,4.8585,4.0049,7,01_7,7,
MCN_P8,1,22.16,4,5.1387,5.1394,4.0005,8,01_8,7.5,
MCH_V3,1,26.44,4,5.4377,5.431,3.995,9,01_9,7.5,
UPH_H8,2,22,4,5.1282,5.1156,3.9902,1,02_1,7.5,
DCH_V6,2,23.17,4,5.2063,5.2088,4.0019,10,02_10,7.5,
YFN_H7,2,21.77,4,5.1131,5.111,3.9983,11,02_11,7.5,
DCH_H4,2,21.15,4,5.0729,5.0746,4.0013,12,02_12,7.5,
UPS_H7,2,22.08,4,5.1335,5.1318,3.9987,13,02_13,7.5,
UPH_V8,2,20.98,4,5.062,5.0695,4.0059,2,02_2,7.5,
FNH_P2,2,21.06,4,5.0671,5.0674,4.0002,3,02_3,7.5,
FNH_P6,2,23.18,4,5.207,5.2067,3.9998,4,02_4,7.5,
MCH_V2,2,26.74,4,5.46,5.4762,4.0119,5,02_5,7.5,
YFN_P3,2,22.02,4,5.1295,5.1225,3.9945,6,02_6,7.5,
FNH_P3,2,17.57,4,4.8526,4.8529,4.0002,7,02_7,7.5,
MCN_P8,2,22.16,4,5.1387,5.1339,3.9962,8,02_8,7.5,
MCH_V3,2,26.44,4,5.4377,5.4345,3.9976,9,02_9,8,
UPH_P2,1,23.01,4,5.1955,5.2068,4.0087,1,03_1,8,
