"","X","unique.id","CO2CperHourperg","Sample_ID","Year"
"1",1,"01_1",2.34252403684543,"UPH_H6",2023
"2",2,"01_2",2.23807887393122,"FNN_H7",2023
"3",3,"02_1",2.182637241472,"UPH_H6",2023
"4",4,"02_2",2.1633222596385,"FNN_H7",2023
"5",5,"03_1",2.98253366704776,"DCH_V4",2023
"6",6,"03_2",2.75789615672406,"SCN_H3",2023
"7",7,"04_1",2.97343771959416,"DCH_V4",2023
"8",8,"04_2",2.11879235338383,"SCN_H3",2023
"9",9,"05_1",2.11296103525437,"UPH_V4",2023
"10",10,"05_2",2.71244628593074,"UPH_H5",2023
"11",11,"06_1",2.27559576795234,"UPH_V4",2023
"12",12,"06_2",2.70742595100735,"UPH_H5",2023
"13",13,"07_1",4.05042798275363,"FNH_V6",2023
"14",14,"07_2",2.82006239255285,"FNN_P7",2023
"15",15,"08_1",3.66454137689907,"FNH_V6",2023
"16",16,"08_2",2.70519264376608,"FNN_P7",2023
"17",17,"09_1",2.2884295948931,"FNN_P6",2023
"18",18,"09_2",3.15818572560637,"SCN_H1",2023
"19",19,"10_1",2.69215948335356,"FNN_P6",2023
"20",20,"10_2",2.73531520451787,"SCN_H1",2023
"21",21,"11_1",2.67233126767343,"FNH_H6",2023
"22",22,"11_2",1.82551539837754,"UPH_V8",2023
"23",23,"12_1",2.48586348628057,"FNH_H6",2023
"24",24,"12_2",NA,"UPH_V8",2023
"25",25,"13_1",2.51726189730292,"FNH_H5",2023
"26",26,"13_2",2.47844330585193,"SCH_V1",2023
"27",27,"14_1",3.12254710742236,"FNH_H5",2023
"28",28,"14_2",2.50721390067888,"SCH_V1",2023
"29",29,"15_1",2.1535233524104,"DCH_H4",2023
"30",30,"15_2",2.4017332469893,"UPH_V6",2023
"31",31,"16_1",2.37264419753097,"DCH_H4",2023
"32",32,"16_2",2.74732308471055,"UPH_V6",2023
"33",33,"17_1",2.24826453097143,"FNN_H6",2023
"34",34,"17_2",2.39741557453098,"YFN_H6",2023
"35",35,"18_1",2.60499542654786,"FNN_H6",2023
"36",36,"18_2",2.30953825535227,"YFN_H6",2023
"37",37,"19_1",2.26517520434246,"FNN_P4",2023
"38",38,"19_2",2.34339183485213,"SCH_H7",2023
"39",39,"20_1",2.50568697445771,"FNN_P4",2023
"40",40,"20_2",2.41996257060301,"SCH_H7",2023
"41",41,"21_1",2.63939261422512,"SCN_H6",2023
"42",42,"21_2",3.75987577832259,"FNH_V8",2023
"43",43,"22_1",2.66376610098872,"SCN_H6",2023
"44",44,"22_2",3.20415403190448,"FNH_V8",2023
"45",45,"23_1",2.4126873999125,"YFN_H5",2023
"46",46,"23_2",2.2778654543048,"SCN_P1",2023
"47",47,"24_1",1.97797420069998,"YFN_H5",2023
"48",48,"24_2",2.22981226898709,"SCN_P1",2023
"49",49,"25_1",2.71207986158857,"FNH_V2",2023
"50",50,"25_2",3.16812201401292,"DCN_H6",2023
"51",51,"26_1",2.53728749654438,"FNH_V2",2023
"52",52,"26_2",3.29918729729265,"DCN_H6",2023
"53",53,"27_1",2.45561394405809,"FNH_V4",2023
"54",54,"27_2",2.17756256742722,"UPH_H8",2023
"55",55,"28_1",2.71134241198373,"FNH_V4",2023
"56",56,"28_2",2.25430751502844,"UPH_H8",2023
"57",57,"29_1",2.58977649775921,"UPH_H1",2023
"58",58,"29_2",3.80826655784935,"DCH_V3",2023
"59",59,"30_1",2.55581623637541,"UPH_H1",2023
"60",60,"30_2",3.55126080181524,"DCH_V3",2023
"61",61,"31_1",2.2406688547129,"DCN_H5",2023
"62",62,"31_2",1.91155856785024,"UPH_V3",2023
"63",63,"32_1",2.14325716817856,"DCN_H5",2023
"64",64,"32_2",2.17986851892199,"UPH_V3",2023
"65",65,"33_1",2.18232777028788,"SCH_H1",2023
"66",66,"34_1",2.2957267538075,"SCH_H1",2023
"67",67,"35_1",2.28407513567841,"DCH_V2",2023
"68",68,"36_1",2.32279835954218,"DCH_V2",2023
"69",69,"37_1",2.57034092154617,"SCH_H2",2023
"70",70,"38_1",2.43790714844459,"SCH_H2",2023
"71",71,"39_1",5.57246497595491,"FNH_V7",2023
"72",72,"40_1",6.58352004966306,"FNH_V7",2023
"73",73,"41_1",2.54635914560031,"SCN_P7",2023
"74",74,"42_1",2.39345757809646,"SCN_P7",2023
"75",75,"43_1",2.24137905980224,"DCN_H1",2023
"76",76,"44_1",2.28678828480698,"DCN_H1",2023
"77",77,"45_1",2.12543072302142,"UPH_H4",2023
"78",78,"46_1",2.00840673124705,"UPH_H4",2023
"79",79,"47_1",2.19661430781825,"DCN_P3",2023
"80",80,"48_1",2.10290728884408,"DCN_P3",2023
"81",81,"01_3",2.77812669804595,"YFN_H7",2023
"82",82,"01_4",3.3370128652745,"SCS_H8",2023
"83",83,"02_3",3.23551924985073,"YFN_H7",2023
"84",84,"02_4",3.44036475592376,"SCS_H8",2023
"85",85,"03_3",3.05025906029027,"SCH_H6",2023
"86",86,"03_4",2.16980052984335,"DCN_P4",2023
"87",87,"04_3",2.98355139956341,"SCH_H6",2023
"88",88,"04_4",2.21908628961828,"DCN_P4",2023
"89",89,"05_3",4.97679256388276,"FNH_H8",2023
"90",90,"05_4",2.35667132797397,"UPH_P8",2023
"91",91,"06_3",4.65025320504885,"FNH_H8",2023
"92",92,"06_4",2.47110383493475,"UPH_P8",2023
"93",93,"07_3",2.56021271264239,"DCN_H2",2023
"94",94,"07_4",2.85052413074127,"DCH_V5",2023
"95",95,"08_3",2.55705439215421,"DCN_H2",2023
"96",96,"08_4",2.68452257671856,"DCH_V5",2023
"97",97,"09_3",3.11803868129628,"DCH_V6",2023
"98",98,"09_4",2.13341306801563,"DCH_V7",2023
"99",99,"10_3",2.86411051602388,"DCH_V6",2023
"100",100,"10_4",1.91478096732548,"DCH_V7",2023
"101",101,"11_3",2.90759074774704,"SCN_H2",2023
"102",102,"11_4",2.12041911343762,"FNH_V1",2023
"103",103,"12_3",2.24541034863446,"SCN_H2",2023
"104",104,"12_4",2.37390955184167,"FNH_V1",2023
"105",105,"13_3",2.5490721349649,"UPH_V2",2023
"106",106,"13_4",2.14558511864374,"FNN_H3",2023
"107",107,"14_3",2.43758298869347,"UPH_V2",2023
"108",108,"14_4",2.19436281183257,"FNN_H3",2023
"109",109,"15_3",2.80737033842588,"UPH_P7",2023
"110",110,"15_4",2.35484933351663,"SCH_V6",2023
"111",111,"16_3",2.26004879191813,"UPH_P7",2023
"112",112,"16_4",2.71079147461776,"SCH_V6",2023
"113",113,"17_3",6.40081172254744,"SCH_V2",2023
"114",114,"17_4",2.20217196500697,"SCH_H8",2023
"115",115,"18_3",6.61736514881104,"SCH_V2",2023
"116",116,"18_4",2.37348965143524,"SCH_H8",2023
"117",117,"19_3",1.98863528336764,"DCH_H5",2023
"118",118,"19_4",1.99778835892101,"SCH_V7",2023
"119",119,"20_3",2.0497883348645,"DCH_H5",2023
"120",120,"20_4",2.21858946069555,"SCH_V7",2023
"121",121,"21_3",2.53029361104826,"SCH_H4",2023
"122",122,"21_4",2.64018842128113,"YFN_H8",2023
"123",123,"22_3",2.42925086821486,"SCH_H4",2023
"124",124,"22_4",2.65355528029586,"YFN_H8",2023
"125",125,"23_3",1.74480164932392,"FNH_H2",2023
"126",126,"23_4",2.3613319861411,"FNN_H2",2023
"127",127,"24_3",1.60441755155996,"FNH_H2",2023
"128",128,"24_4",2.52500289857492,"FNN_H2",2023
"129",129,"25_3",2.59966403037452,"DCN_P7",2023
"130",130,"25_4",2.12751174951429,"SCH_H5",2023
"131",131,"26_3",2.15075886219434,"DCN_P7",2023
"132",132,"26_4",1.96648205284966,"SCH_H5",2023
"133",133,"27_3",2.67664802019047,"DCN_H4",2023
"134",134,"27_4",2.2137097243695,"FNN_P5",2023
"135",135,"28_3",2.30823083569937,"DCN_H4",2023
"136",136,"28_4",2.56113908955735,"FNN_P5",2023
"137",137,"29_3",2.56227314537603,"DCH_V8",2023
"138",138,"29_4",3.27107115362337,"SCN_H8",2023
"139",139,"30_3",2.58983870929165,"DCH_V8",2023
"140",140,"30_4",3.18376251093721,"SCN_H8",2023
"141",141,"31_3",1.850368926289,"UPH_H3",2023
"142",142,"31_4",3.90225479010718,"FNH_H7",2023
"143",143,"32_3",2.04354504571623,"UPH_H3",2023
"144",144,"32_4",4.3808109606571,"FNH_H7",2023
"145",145,"33_3",2.70042059488434,"YFH_V8",2023
"146",146,"34_3",2.66553360137573,"YFH_V8",2023
"147",147,"35_3",1.76576114229544,"DCH_H2",2023
"148",148,"36_3",1.70578813479921,"DCH_H2",2023
"149",149,"37_3",1.98535763038605,"UPH_P1",2023
"150",150,"38_3",2.22515047279026,"UPH_P1",2023
"151",151,"39_3",3.62498893684202,"FNH_H1",2023
"152",152,"40_3",4.23931974198256,"FNH_H1",2023
"153",153,"41_3",2.94297631342586,"UPH_V1",2023
"154",154,"42_3",2.60318358550441,"UPH_V1",2023
"155",155,"43_3",2.2354726836666,"UPH_P3",2023
"156",156,"44_3",3.29274721349657,"UPH_P3",2023
"157",157,"45_3",2.88690270895554,"DCN_H7",2023
"158",158,"46_3",2.51480982835326,"DCN_H7",2023
"159",159,"47_3",3.09508391994051,"UPH_V5",2023
"160",160,"48_3",3.02832744015121,"UPH_V5",2023
"161",161,"01_5",2.58697678532002,"DCN_P2",2023
"162",162,"01_6",1.77584088592618,"DCH_H3",2023
"163",163,"02_5",2.32654818812523,"DCN_P2",2023
"164",164,"02_6",2.21085706692772,"DCH_H3",2023
"165",165,"03_5",2.21357818152943,"FNH_H4",2023
"166",166,"03_6",2.20078431697322,"YFN_H1",2023
"167",167,"04_5",2.1118049849184,"FNH_H4",2023
"168",168,"04_6",2.39404999227922,"YFN_H1",2023
"169",169,"05_5",3.18287869486001,"FNH_V3",2023
"170",170,"05_6",2.40547619231642,"FNN_H5",2023
"171",171,"06_5",3.60932086073636,"FNH_V3",2023
"172",172,"06_6",2.46688151805614,"FNN_H5",2023
"173",173,"07_5",3.45223840182245,"DCN_P1",2023
"174",174,"07_6",3.3931744519629,"SCH_V4",2023
"175",175,"08_5",2.73821831894692,"DCN_P1",2023
"176",176,"08_6",3.59868751593351,"SCH_V4",2023
"177",177,"09_5",2.70937674416223,"DCN_H8",2023
"178",178,"09_6",2.71643399449797,"YFN_H4",2023
"179",179,"10_5",2.3118052019605,"DCN_H8",2023
"180",180,"10_6",3.1317370127211,"YFN_H4",2023
"181",181,"11_5",2.48789347868656,"YFN_H3",2023
"182",182,"11_6",2.94121074525803,"FNN_H4",2023
"183",183,"12_5",2.67693976813547,"YFN_H3",2023
"184",184,"12_6",2.91065342509663,"FNN_H4",2023
"185",185,"13_5",2.61826316091723,"UPS_H1",2023
"186",186,"13_6",1.93715536258515,"SCN_H5",2023
"187",187,"14_5",2.55423168373798,"UPS_H1",2023
"188",188,"14_6",1.91566899133883,"SCN_H5",2023
"189",189,"15_5",3.30092355117671,"DCH_H7",2023
"190",190,"15_6",2.3456954666126,"SCN_H4",2023
"191",191,"16_5",3.21201761808216,"DCH_H7",2023
"192",192,"16_6",2.66929096708753,"SCN_H4",2023
"193",193,"17_5",2.56031130101406,"DCN_H3",2023
"194",194,"17_6",2.83715608489354,"SCS_H2",2023
"195",195,"18_5",2.37775101819416,"DCN_H3",2023
"196",196,"18_6",2.84183199819034,"SCS_H2",2023
"197",197,"19_5",4.4341005251239,"FNH_V5",2023
"198",198,"19_6",2.88546456023749,"YFH_V6",2023
"199",199,"20_5",3.94586110577191,"FNH_V5",2023
"200",200,"20_6",3.0243876864945,"YFH_V6",2023
"201",201,"21_5",3.344479084347,"FNH_H3",2023
"202",202,"21_6",2.96010208881164,"SCS_H4",2023
"203",203,"22_5",3.73056055727187,"FNH_H3",2023
"204",204,"22_6",NA,"SCS_H4",2023
"205",205,"23_5",3.15913492261187,"SCH_H3",2023
"206",206,"23_6",2.99868058584179,"YFH_V7",2023
"207",207,"24_5",2.9844331183782,"SCH_H3",2023
"208",208,"24_6",3.06126989034526,"YFH_V7",2023
"209",209,"25_5",3.08616731416667,"UPH_V7",2023
"210",210,"25_6",3.0319770944594,"DCS_H5",2023
"211",211,"26_5",NA,NA,2023
"212",212,"26_6",3.28654822974495,"UPH_V7",2023
"213",212,"26_6",3.28654822974495,"DCS_H5",2023
"214",213,"27_5",2.68302729036042,"SCH_V3",2023
"215",214,"27_6",3.44743439965516,"YFH_H7",2023
"216",215,"28_5",2.65334823942572,"SCH_V3",2023
"217",216,"28_6",3.43518894248462,"YFH_H7",2023
"218",217,"29_5",2.42370656791341,"SCH_V5",2023
"219",218,"29_6",3.12606451393342,"UPS_H3",2023
"220",219,"30_5",2.45209846731847,"SCH_V5",2023
"221",220,"30_6",2.8538265949807,"UPS_H3",2023
"222",221,"31_5",1.94732607926643,"UPH_H2",2023
"223",222,"31_6",2.65155403825395,"FNS_H7",2023
"224",223,"32_5",2.27721124756399,"UPH_H2",2023
"225",224,"32_6",2.64633072116405,"FNS_H7",2023
"226",225,"33_5",2.8238828542821,"DCN_P6",2023
"227",226,"34_5",2.53226445944398,"DCN_P6",2023
"228",227,"35_5",2.50540932919329,"DCH_H6",2023
"229",228,"36_5",2.61047732178836,"DCH_H6",2023
"230",229,"37_5",3.24486103410004,"DCH_H1",2023
"231",230,"38_5",3.20914799295811,"DCH_H1",2023
"232",231,"39_5",2.84649293867265,"SCH_V8",2023
"233",232,"40_5",3.02075875503278,"SCH_V8",2023
"234",233,"41_5",3.45188562924667,"SCN_H7",2023
"235",234,"42_5",2.82243904939784,"SCN_H7",2023
"236",235,"43_5",2.31537212649604,"DCH_H8",2023
"237",236,"44_5",2.61307518877533,"DCH_H8",2023
"238",237,"45_5",2.45167220950214,"FNN_H1",2023
"239",238,"46_5",2.67692162065799,"FNN_H1",2023
"240",239,"47_5",2.16867731656361,"DCH_V1",2023
"241",240,"48_5",2.41191218076306,"DCH_V1",2023
"242",241,"01_7",3.4278456491193,"YFH_H8",2023
"243",242,"01_8",2.40267214044028,"FNS_H1",2023
"244",243,"02_7",3.1091630813336,"YFH_H8",2023
"245",244,"02_8",2.66122135902739,"FNS_H1",2023
"246",245,"03_7",2.86980365874836,"FNS_H8",2023
"247",246,"03_8",3.66219730866993,"YFH_H4",2023
"248",247,"04_7",2.67248975825945,"FNS_H8",2023
"249",248,"04_8",4.2296701576911,"YFH_H4",2023
"250",249,"05_7",3.02070303864393,"YFH_V5",2023
"251",250,"05_8",3.5091893677056,"SCS_H1",2023
"252",251,"06_7",2.93381511516214,"YFH_V5",2023
"253",252,"06_8",3.43220883368839,"SCS_H1",2023
"254",253,"07_7",4.48014561281282,"DCS_H1",2023
"255",254,"07_8",2.91421965065694,"FNS_H4",2023
"256",255,"08_7",3.27497597251385,"DCS_H1",2023
"257",256,"08_8",3.25275787510561,"FNS_H4",2023
"258",257,"09_7",3.24994625417121,"SCS_H6",2023
"259",258,"09_8",2.29987159362466,"FNS_H6",2023
"260",259,"10_7",3.01273905018595,"SCS_H6",2023
"261",260,"10_8",2.33355273849718,"FNS_H6",2023
"262",261,"11_7",2.57940530817974,"FNS_H5",2023
"263",262,"11_8",2.98917022417645,"UPS_H5",2023
"264",263,"12_7",3.09240948009772,"FNS_H5",2023
"265",264,"12_8",2.86634597873076,"UPS_H5",2023
"266",265,"13_7",3.43529846208284,"UPS_H7",2023
"267",266,"13_8",2.54210261089508,"UPS_H2",2023
"268",267,"14_7",3.49915593114529,"UPS_H7",2023
"269",268,"14_8",2.89836754759241,"UPS_H2",2023
"270",269,"15_7",3.22549314138306,"YFH_H2",2023
"271",270,"15_8",3.1866170811907,"UPS_H6",2023
"272",271,"16_7",3.10964191131174,"YFH_H2",2023
"273",272,"16_8",3.44595778847969,"UPS_H6",2023
"274",273,"17_7",3.03532280681362,"DCS_H2",2023
"275",274,"17_8",3.53289831735426,"YFH_H6",2023
"276",275,"18_7",2.89068745944648,"DCS_H2",2023
"277",276,"18_8",3.5418019584115,"YFH_H6",2023
"278",277,"19_7",3.84416548738221,"SCS_H7",2023
"279",278,"19_8",2.9990033827789,"YFH_V4",2023
"280",279,"20_7",3.63171647719337,"SCS_H7",2023
"281",280,"20_8",2.9404000092776,"YFH_V4",2023
"282",281,"21_7",3.79464725105114,"UPS_H4",2023
"283",282,"21_8",2.79322938833289,"FNS_H3",2023
"284",283,"22_7",3.78531164936958,"UPS_H4",2023
"285",284,"22_8",2.93779470354727,"FNS_H3",2023
"286",285,"23_7",3.06851796196036,"YFH_V3",2023
"287",286,"23_8",3.03451722569729,"YFH_V2",2023
"288",287,"24_7",2.74791951346595,"YFH_V3",2023
"289",288,"24_8",2.91573170919258,"YFH_V2",2023
"290",289,"25_7",3.26870561818085,"DCS_H8",2023
"291",290,"26_7",3.20514208861368,"DCS_H8",2023
"292",291,"27_7",2.92653290421593,"YFH_H3",2023
"293",292,"28_7",3.17372684036289,"YFH_H3",2023
"294",293,"29_7",3.29448240619535,"YFH_V1",2023
"295",294,"30_7",2.82978048810654,"YFH_V1",2023
"296",295,"31_7",3.08675684524182,"DCS_H4",2023
"297",296,"32_7",2.85972930504005,"DCS_H4",2023
"298",297,"33_7",3.01871208633966,"YFH_H1",2023
"299",298,"34_7",2.84989952243123,"YFH_H1",2023
"300",299,"35_7",3.26728406518971,"UPS_H8",2023
"301",300,"36_7",3.012551919279,"UPS_H8",2023
"302",301,"37_7",3.13886988180325,"YFH_H5",2023
"303",302,"38_7",3.0944782803347,"YFH_H5",2023
"304",303,"39_7",3.11171780822104,"SCS_H3",2023
"305",304,"40_7",2.7580986222721,"SCS_H3",2023
"306",305,"41_7",3.17763714668496,"FNS_H2",2023
"307",306,"42_7",3.28159082701232,"FNS_H2",2023
"308",307,"43_7",2.95294258099599,"SCS_H5",2023
"309",308,"44_7",3.43227142417942,"SCS_H5",2023
"310",309,"45_7",3.9259191431627,"DCS_H7",2023
"311",310,"46_7",3.73605778623602,"DCS_H7",2023
"312",311,"47_7",4.2830687175231,"DCS_H6",2023
"313",312,"48_7",3.90389715283504,"DCS_H6",2023
