irga.id,unique.id,replicate,soil.volume,actual.fresh.mass,date.run,time.flush,time.irga,standard.co2,irga.integral,times.sampled,std.value.1,std.value.2,std.value.3,std.value.4,std.start.time,std.end.time
1,01_12,1,7.5,5.0744,1/1/22,13:08,17:11,1976,279.805,1,561.887,563.296,563.535,565.046,17:07,17:10
2,02_12,2,7.5,5.0746,1/1/22,13:08,17:12,1976,336.173,1,,,,,,
3,03_12,1,8,5.1003,1/1/22,13:08,17:13,1976,308.894,1,,,,,,
4,04_12,2,7.5,5.105,1/1/22,13:08,17:14,1976,262.273,1,,,,,,
5,05_12,1,7.5,4.9416,1/1/22,13:08,17:14,1976,206.444,1,,,,,,
6,06_12,2,7.5,4.9417,1/1/22,13:08,17:15,1976,204.59,1,,,,,,
7,07_12,1,7.5,5.254,1/1/22,13:08,17:16,1976,283.86,1,,,,,,
8,08_12,2,8,5.2517,1/1/22,13:08,17:16,1976,255.22,1,,,,,,
9,09_12,1,8.5,5.3031,1/1/22,13:11,17:17,1976,269.192,1,,,,,,
10,10_12,2,7.5,5.3095,1/1/22,13:11,17:18,1976,272.789,1,,,,,,
11,11_12,1,8,5.1263,1/1/22,13:11,17:19,1976,231.599,1,,,,,,
12,12_12,2,8,5.1222,1/1/22,13:11,17:19,1976,233.374,1,,,,,,
13,12_39,1,7.5,5.0738,1/1/22,13:11,17:20,1976,236.932,1,,,,,,
14,12_40,2,7.5,5.0723,1/1/22,13:11,17:20,1976,296.13,1,,,,,,
15,13_12,1,7.5,5.0726,1/1/22,13:11,17:21,1976,213.84,1,,,,,,
16,14_12,2,7.5,5.07,1/1/22,13:11,17:22,1976,211.054,1,,,,,,
17,15_12,1,7.5,4.9889,1/1/22,13:14,17:28,1976,410.419,1,552.62,552.969,556.525,557.982,17:23,17:27
18,16_12,2,7,4.9892,1/1/22,13:14,17:28,1976,509.208,1,,,,,,
19,17_12,1,8,5.2139,1/1/22,13:14,17:29,1976,255.861,1,,,,,,
20,18_12,2,8,5.211,1/1/22,13:14,17:30,1976,260.031,1,,,,,,
21,19_12,1,7.5,5.143,1/1/22,13:14,17:31,1976,270.217,1,,,,,,
22,20_12,2,7.5,5.1402,1/1/22,13:14,17:32,1976,242.391,1,,,,,,
23,21_12,1,7.5,5.0101,1/1/22,13:14,17:32,1976,401.693,1,,,,,,
24,22_12,2,7.5,5.0149,1/1/22,13:14,17:33,1976,369.237,1,,,,,,
25,23_12,1,7.5,5.1712,1/1/22,13:16,17:34,1976,266.793,1,,,,,,
26,24_12,2,7.5,5.1747,1/1/22,13:16,17:35,1976,245.247,1,,,,,,
27,25_12,1,7.5,5.391,1/1/22,13:16,17:35,1976,370.274,1,,,,,,
28,26_12,2,8,5.3908,1/1/22,13:16,17:36,1976,369.862,1,,,,,,
29,27_12,1,7.5,5.145,1/1/22,13:16,17:37,1976,257.585,1,,,,,,
30,28_12,2,7.5,5.1497,1/1/22,13:16,17:37,1976,274.934,1,,,,,,
31,29_12,1,7.5,5.0105,1/1/22,13:16,17:38,1976,312.866,1,,,,,,
32,30_12,2,7.5,5.0142,1/1/22,13:16,17:39,1976,280.005,1,,,,,,
33,31_12,1,7.5,5.1295,1/1/22,13:20,17:42,1976,311.435,1,553.104,554.294,554.998,,17:39,17:41
34,32_12,2,7.5,5.1271,1/1/22,13:20,17:43,1976,314.681,1,,,,,,
35,33_12,1,7.5,5.1876,1/1/22,13:20,17:44,1976,378.761,1,,,,,,
36,34_12,2,7.5,5.185,1/1/22,13:20,17:45,1976,318.132,1,,,,,,
37,35_12,1,7.5,5.3829,1/1/22,13:20,17:45,1976,319.667,1,,,,,,
