Chamber,Run,Manual_Resp_Calc,Incubation_Temp,Logger_Pro_Calcd,Temp_Catagorical,Entry.Order,Generation,Population,Predation,Cage,Tin.Empty,Tin.Full,Run,Chamber,Mass,Notes,Saturated,Exclude,Individual
2,10,0.797279194,24.77750718,0.789643787,25C,42,G1,DC,Herbivore,29,1.7426,1.8904,10,2,0.1478,NA,0,0,64
3,10,3.133537499,24.75736592,3.08535964,25C,122,G1,UP,Herbivore,1,1.7401,2.1012,10,3,0.3611,NA,0,0,65
4,10,1.878125193,24.73506171,1.883774473,25C,72,G1,FN,Herbivore,54,1.5924,1.9952,10,4,0.4028,NA,0,0,66
5,10,1.164790015,24.71229205,1.157485084,25C,44,G1,DC,Herbivore,2,1.7481,1.9553,10,5,0.2072,NA,0,0,67
6,10,1.126630174,24.69023695,1.105724121,25C,45,G1,DC,Herbivore,2,1.7253,1.9732,10,6,0.2479,NA,0,0,68
6,11,1.303463117,24.6534682,1.269993285,25C,123,G1,UP,Herbivore,49,1.7042,1.9308,11,6,0.2266,NA,0,0,69
5,13,3.114092599,24.93403448,3.107160978,25C,73,G1,FN,Herbivore,20,1.6973,2.0487,13,5,0.3514,NA,0,0,70
6,13,2.098299484,24.94107747,2.081410777,25C,74,G1,FN,Herbivore,20,1.7269,1.9894,13,6,0.2625,NA,0,0,71
7,14,1.680822005,24.87275323,1.689045112,25C,124,G1,UP,Herbivore,58,1.7089,1.9423,14,7,0.2334,NA,0,0,72
2,15,0.791918543,24.95060812,0.781651225,25C,125,G1,UP,Herbivore,22,1.75,1.948,15,2,0.198,NA,0,0,73
8,15,2.035496457,24.87434992,2.019047994,25C,126,G1,UP,Herbivore,58,1.6909,2.0054,15,8,0.3145,NA,0,0,74
5,16,2.20849073,24.65116991,2.226948326,25C,75,G1,FN,Herbivore,20,1.7046,2.0759,16,5,0.3713,NA,0,0,75
2,10,1.25303606,30.29263431,1.246193542,30C,42,G1,DC,Herbivore,29,1.7426,1.8904,10,2,0.1478,NA,0,0,64
3,10,4.609443221,30.25279357,4.522174808,30C,122,G1,UP,Herbivore,1,1.7401,2.1012,10,3,0.3611,NA,0,0,65
4,10,3.654008356,30.19364496,3.685379855,30C,72,G1,FN,Herbivore,54,1.5924,1.9952,10,4,0.4028,NA,0,0,66
5,10,1.556487657,30.12121258,1.559694145,30C,44,G1,DC,Herbivore,2,1.7481,1.9553,10,5,0.2072,NA,0,0,67
6,10,1.828231644,30.04340022,1.823021372,30C,45,G1,DC,Herbivore,2,1.7253,1.9732,10,6,0.2479,NA,0,0,68
6,11,2.039230057,30.18080647,2.063526611,30C,123,G1,UP,Herbivore,49,1.7042,1.9308,11,6,0.2266,NA,0,0,69
5,13,3.614393774,29.49221472,3.63380156,30C,73,G1,FN,Herbivore,20,1.6973,2.0487,13,5,0.3514,NA,0,0,70
6,13,3.960988402,29.41601624,3.928107289,30C,74,G1,FN,Herbivore,20,1.7269,1.9894,13,6,0.2625,NA,0,0,71
7,14,2.029504354,30.28093669,2.018406484,30C,124,G1,UP,Herbivore,58,1.7089,1.9423,14,7,0.2334,NA,0,0,72
2,15,1.066964787,30.09446872,1.097589152,30C,125,G1,UP,Herbivore,22,1.75,1.948,15,2,0.198,NA,0,0,73
8,15,2.593197632,29.78168534,2.578248231,30C,126,G1,UP,Herbivore,58,1.6909,2.0054,15,8,0.3145,NA,0,0,74
5,16,2.224636599,30.0173415,2.209856785,30C,75,G1,FN,Herbivore,20,1.7046,2.0759,16,5,0.3713,NA,0,0,75
